,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
1626,Mingle Mix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mingle+Mix,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,1 oz.,Grape,Multi,Multi,,"Multi-colored fruit, resistant to cracking",,,,,,
1627,Apero,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apero,,Commercial,Hybrid,Early,Normal,Indeterminate,6 ft.,1 oz.,Grape,Red,Red,,"High resistance to FNT, exceptional flavor? and foliar disease resistance",,,,,,
1628,Gold Spark,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gold+Spark,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,2 oz.,Grape,Yellow,Yellow,,"High resistance to T and cracking, large, dark yellow beauties with unfailingly delicious?, sweet, meaty flesh",,,,,,
1629,Celano,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celano,,Garden,Hybrid,Early,Normal,Semi-Determinate,5 ft.,0.5 oz.,Grape,Red,Red,,2020 AAS Winner Excellent late blight tolerance,,,,,,
1630,BHN  785,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN++785,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,0.5 oz.,Grape,Red,Red,,"Resistance to F, concentrated set of smooth, firm fruit",,,,,,
1631,Apple Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apple+Yellow,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Yellow,Yellow,,"2020 AAS Winner, fruit shaped like an apple with dimpled blossom end.",,,,,,
1632,Cherry Ember,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Ember,,Garden,Open Pollinated,Early,Normal,Indeterminate,8 ft.,1 oz.,Grape,Red,Red,,"Red with gold stripes, resists cracking",USA,,,,,
1633,Supernova,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supernova,,Garden,Open Pollinated,Early,Normal,Indeterminate,8 ft.,0.5 oz.,Grape,Red,Red,,Red with yellow stripes inside and out,USA,,,,,
1634,Mountain Vineyard (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Vineyard+(2),,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.5 oz.,Grape,Red,Red,,"Contains the crimson gene for high lycopene, crack and F resistant",,,,,,
1635,German Lunchbox (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?German+Lunchbox+(2),,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Grape,Pink,Red,,Vibrant pink and very sweet,Germany,,,,,
1636,Bliss,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bliss,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Yellow,Yellow,,"Perfect for snacking, sweet",,,,,,
1637,Glitter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Glitter,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Orange,Orange,,"Brilliant orange tomato on trusses, prolific",USA,,,,,
1638,Cannellino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cannellino,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,0.5 oz.,Grape,Yellow,Yellow,,"Unique and sweet flavor, resists cracking, VF",,,,,,
1639,Phuket Egg,https://njaes.rutgers.edu/tomato-varieties/variety.php?Phuket+Egg,,Garden,Open Pollinated,Early,Normal,Indeterminate,5 ft.,1 oz.,Grape,Pink,Pink,,Unique tart tomato used in Thai cuisine,Thailand,,,,,
1640,Kalman's Hungarian Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kalman's+Hungarian+Pink,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,,,Long Blocky,Pink,Pink,,Rich sweet flavor?  Meaty flesh.,,"A family heirloom of Kalman Lajvort of Edison, NJ originally frorm Europe.","Fresh, Paste","Seed Exchange, Commercial",,
1641,Dacquiri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Dacquiri,,Commercial,Hybrid,Mid,Narrow,Determinate,3 ft.,4 oz.,Long Blocky,Red,Red,,Firm and hold well on plant.,,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
1642,Quimbaya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Quimbaya,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,5 oz.,Long Blocky,Red,Red,,,,Said to be from Columbia.,,,,
1643,Capaya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Capaya,,,Hybrid,Mid,Normal,Determinate,5 ft.,6 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Alternaria Stem Canker, Tobbacco Mosaic Virus",
1644,Huichol,https://njaes.rutgers.edu/tomato-varieties/variety.php?Huichol,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,6 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
1645,La Roma III,https://njaes.rutgers.edu/tomato-varieties/variety.php?La+Roma+III,,Specialty,Hybrid,Late,Normal,Determinate,3 ft.,5 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",
1646,Ranger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ranger,,,Hybrid,Late,,Determinate,4 ft.,6 oz.,Long Blocky,Red,Red,,Firm fruit.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",
1647,Jersey Devil,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jersey+Devil,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,6 oz.,Long Pointed,Red,Red,,Very meaty few seeds?  Look like frying peppers.  Sweet?,,,"Fresh, Paste",Commercial,,
1648,Wonder Light,https://njaes.rutgers.edu/tomato-varieties/variety.php?Wonder+Light,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,6 oz.,Long Pointed,Yellow,Yellow,,Resemble lemons in shape. Good for salads and salsa.,Russia,From Siberia.,"Fresh, Paste","Seed Exchange, Commercial",,
1649,Banana Legs,https://njaes.rutgers.edu/tomato-varieties/variety.php?Banana+Legs,,Heirloom,Open Pollinated,Late,Normal,Determinate,3 ft.,2 oz.,Long Pointed,Yellow,Yellow,,"Meaty and low in acid?; Fruit is 4"" long by 1.5"" in diameter.",,,Fresh,Commercial,,
1650,Cream Sausage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cream+Sausage,,Specialty,Open Pollinated,Mid,Narrow,Determinate,3 ft.,3 oz.,Long Pointed,White,White,,Sweet flavor?  Adds great color to salsa or sauces.  Compact plants?,,,"Fresh, Paste","Seed Exchange, Commercial",,
1651,Green Sausage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Green+Sausage,,Specialty,Open Pollinated,Late,Narrow,Determinate,3 ft.,3 oz.,Long Pointed,Green,Green,,Green with yellow stripes.  Short compact plants.,,,Fresh,"Seed Exchange, Commercial",,
1652,Purple Russian,https://njaes.rutgers.edu/tomato-varieties/variety.php?Purple+Russian,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,5 oz.,Long Pointed,Black,Black,,Meaty rich flavor.,Ukraine,,"Fresh, Paste","Seed Exchange, Commercial",,
1653,Speckled Roman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Speckled+Roman,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,7 oz.,Long Pointed,Bi-color,Red,,"Thick skinned with meaty flesh.  Fruits are 5"" long.  Orange red color with yellow stripes.",,Developed by John Swenson as a result of a cross between 'Antique Roman' and 'Banana Legs'.,,,,
1654,Plum Lemon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Plum+Lemon,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,3 inches,Long Pointed,Yellow,Yellow,Sweet,"Lemon shaped, Collected by Kent Whealy from an elderly seedsman at Moscow’s Bird Market. Meaty sweet flavor?",Russia,,,,,
1655,El Dorado,https://njaes.rutgers.edu/tomato-varieties/variety.php?El+Dorado,,,Hybrid,Mid,Normal,Indeterminate,7 ft.,4 oz.,Long Pointed,Yellow,Yellow,,,,,,,,
1656,Lemon Tree,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Tree,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,3 oz.,Long Pointed,Yellow,Yellow,,,,,,,,
1657,Yellow Fire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Yellow+Fire,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,4 oz.,Long Pointed,Bi-color,Red,Tomato Flavor,Yellow and red striped friuit with few seeds.,,,,,,
1658,German Red Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?German+Red+Strawberry,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,5 ft.,10 oz.,Oxheart,Red,Red,,Very meaty few seeds and little juice.  Tends to have green shoulders.,,,,,,
1659,Hungarian Heart,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hungarian+Heart,,,Open Pollinated,Late,Normal,Indeterminate,7 ft.,16 oz.,Oxheart,Pink,Pink,Tomato Flavor,Originated from Budapest Hungary.,,,,,,
1660,Orange Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Strawberry,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,10 oz.,Oxheart,Orange,Orange,,Fruit supposed to have the shape of a strawberry?  Rich yet sweet flavor?,,,Fresh,Commercial,,
1661,Rostova,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rostova,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,14 oz.,Oxheart,Red,Red,,Also sold as 'Sunset's Red Horizon'.,Russia,Named after Rostov City.,,,,
1662,Wes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Wes,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,12 oz.,Oxheart,Red,Red,,Fruit is meaty with few seeds.,,,,,,
1663,Red Anjou,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Anjou,,,Hybrid,Mid,,Indeterminate,7 ft.,16 oz.,Oxheart,Red,Red,,,,,,,,
1664,Shilling Giant (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Shilling+Giant+(1),,,Open Pollinated,Late,,Indeterminate,5 ft.,12 oz.,Oxheart,Red,Red,,,,,,,,
1665,Cour Di Bue,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cour+Di+Bue,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,8 oz.,Oxheart,Red,Red,Tomato Flavor,Originally from Italy.,Italy,,,,,
1666,Orange Russian 117,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Russian+117,,Garden,Open Pollinated,Late,Normal,Indeterminate,7 ft.,8 oz.,Oxheart,Bi-color,Yellow,Tomato Flavor,Yellow with red blush a cross between 'Russian 117' and 'Georgia Streak'.,,,,,,
1667,Orange Oxheart (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Oxheart+(2),,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Oxheart,Orange,Orange,,Meaty with well balanced flavor.,USA,,,,,
1668,Oxheart Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Oxheart+Pink,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,12 oz.,Oxheart,Pink,Pink,,Meaty and flavorful.,,,,,,
1669,Japanese Trifele Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Japanese+Trifele+Black,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5 ft.,8 oz.,Pear,Black,Black,,,,,,Commercial,,
1670,Zapotec Pink Ribbed,https://njaes.rutgers.edu/tomato-varieties/variety.php?Zapotec+Pink+Ribbed,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,8 oz.,Pear,Deep Pink,Deep Pink,,Deeply ribbed.,Mexico,From the Zapotec indians of Mexico.,,,,
1671,Red Fig,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Fig,,,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,0.4 oz.,Pear,Red,Red,,,,,,,,
1672,Beam's Yellow Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beam's+Yellow+Pear,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7 ft.,0.55 oz.,Pear,Yellow,Yellow,,Said to be a the best yellow pear strain.,,,Fresh,Seed Exchange,,
1673,Black Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pear,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5 ft.,,Pear,Black,Red,,,,,Fresh,"Seed Exchange, Commercial",,
1674,Classica,https://njaes.rutgers.edu/tomato-varieties/variety.php?Classica,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,3-1/2 oz.,Pear,Red,Red,,Great for salads or fresh.,,,"Fresh, Paste",Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",
1675,Gremlin,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gremlin,,Specialty,Hybrid,Early,Narrow,Determinate,5 ft.,12 oz.,Pear,Red,Red,,Firm fruit with a unique shape.,,,,,Verticillium Wilt,
1676,Sophya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sophya,,Specialty,Hybrid,Mid,Narrow,Indeterminate,5 ft.,10 oz.,Pear,Red,Red,,Firm flesh.,Italy,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
1677,Piriform,https://njaes.rutgers.edu/tomato-varieties/variety.php?Piriform,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,10-16 oz.,Pear,Bi-color,Red,,"Has ribbed green shoulders, juicy sweet flavor?",Italy,,,,,
1678,Yellow Bell,https://njaes.rutgers.edu/tomato-varieties/variety.php?Yellow+Bell,,Heirloom,Open Pollinated,Early,Normal,Indeterminate,6 ft.,6 oz.,Pear,Yellow,Yellow,,,,,,,,
1679,Baby Bottle Red Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Bottle+Red+Pear,,,Hybrid,Mid,,Indeterminate,,,Pear,Red,Red,,,,,,,,
1680,Riviera,https://njaes.rutgers.edu/tomato-varieties/variety.php?Riviera,,Specialty,Hybrid,Mid,Normal,Indeterminate,5 ft.,8 oz.,Pear,Red,Red,,,,,,,,
1681,Pink Accordion,https://njaes.rutgers.edu/tomato-varieties/variety.php?Pink+Accordion,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,6 oz.,Pear,Pink,Pink,Tomato Flavor,Ruffled like an accordion and semi-hollow.,,,,,,
1682,Midnight Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Midnight+Pear,,Garden,Open Pollinated,Early,Normal,Indeterminate,5 ft.,0.25 oz.,Pear,Purple,Purple,,"Purple pear shaped tomato, outstanding flavor",USA,,,,,
1683,Chocolate Pear (3),https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Pear+(3),,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Pear,Bi-color,Red,,"Red, brown, green skin, rich tomato flavor, perfect for snacking",,,,,,
1684,Grinch Dwarf,https://njaes.rutgers.edu/tomato-varieties/variety.php?Grinch+Dwarf,,Garden,Open Pollinated,Early,Potato,Determinate,4 ft.,2 oz.,Pear,Green,Green,,"Dwarf variety suited to containers, sweet delicious flavor?",USA,,,,,
1685,Moonshadow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moonshadow,,Garden,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,0.5 oz.,Pear,Purple,Purple,,"High yielding plants produce multitudes of gorgeous, black grape tomatoes with irresistible flavor?",USA,,,,,
1686,Moonbeam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Moonbeam,,Garden,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,0.5 oz.,Pear,Yellow,Yellow,,Stunningly unique and packed with a tasty punch of unbeatable flavor?,USA,,,,,
1687,Queen Aliquippa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Queen+Aliquippa,,Garden,Open Pollinated,Mid,Potato,Indeterminate,5 ft.,5 oz.,Pear,Green,Green,,"Well balanced, sweet and fruity",USA,,,,,
1688,Orange Banana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Banana,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,6 oz.,Plum,Orange,Orange,,,,,,,,
1689,Rio Grande,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rio+Grande,,,Open Pollinated,Late,,Indeterminate,3 ft.,8 oz.,Plum,Red,Red,,,,,,,,
1690,Porter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Porter,,Specialty,Open Pollinated,Mid,Narrow,Indeterminate,7 ft.,2 oz.,Plum,Deep Pink,Deep Pink,,Tender skin good for canning and juicing.,,,Fresh,Commercial,,
1691,Enchantment,https://njaes.rutgers.edu/tomato-varieties/variety.php?Enchantment,,Garden,Hybrid,Early,Narrow,Indeterminate,5 ft.,3 oz.,Plum,Red,Red,,Firm flesh.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
1692,Health Kick,https://njaes.rutgers.edu/tomato-varieties/variety.php?Health+Kick,,,Hybrid,Mid,Narrow,Determinate,4 ft.,6 oz.,Plum,Red,Red,,50% more lycopene.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Alternaria Stem Canker",
1693,Amish Paste,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amish+Paste,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,1.3 oz.,Plum,Pink,Pink,Sweet,"Somewhat sweet, can be bland, mealy.",USA,Saved by the Amish.,Fresh,Commercial,,"Cracks, Uneven Ripening"
1694,Black Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Plum,,Specialty,Open Pollinated,Late,Normal,Indeterminate,8 ft.,2 oz.,Plum,Black,Black,,Sweet and fruity.,,,,,,
1695,Debaro,https://njaes.rutgers.edu/tomato-varieties/variety.php?Debaro,,Heirloom,Open Pollinated,,Narrow,Indeterminate,,,Plum,Red,Red,,Crack free?  Meaty not much juice?,,,"Fresh, Paste","Seed Exchange, Commercial",,
1696,Martino's Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Martino's+Roma,,Garden,Hybrid,Late,Normal,Determinate,5 ft.,3 oz.,Plum,Red,Red,,Italian heirloom.,Italy,,,,,
1697,Tip-Top,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tip-Top,,,,Late,Narrow,Determinate,2 ft.,3 oz.,Plum,Red,,,"Doesn't crack, pointed tip.",,,,,,
1698,Plum Crimson,https://njaes.rutgers.edu/tomato-varieties/variety.php?Plum+Crimson,,Commercial,Hybrid,Mid,Narrow,Determinate,3 ft.,4 oz.,Plum,Red,Red,,Plum type popular with local farmers.,,,"Fresh, Paste",Commercial,,
1699,Old Ivory Egg,https://njaes.rutgers.edu/tomato-varieties/variety.php?Old+Ivory+Egg,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,5 oz.,Plum,White,White,,Fruit has size shape and color of a chicken's egg.  Creamy yellow when ripe. Mild sweet flavor?,,,"Fresh, Paste","Seed Exchange, Commercial",,
1700,Mariana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mariana,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,5 oz.,Plum,Red,Red,,A large Roma type.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
1701,Golden Sunshine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Golden+Sunshine,,Specialty,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,0.4 oz.,Plum,Orange,,,,,,,,,
1702,Halley 3155,https://njaes.rutgers.edu/tomato-varieties/variety.php?Halley+3155,,Commercial,Hybrid,Mid,Narrow,Determinate,3 ft.,4 oz.,Plum,Red,Red,,"Little seeds or juice, solid.",,,Paste,,,
1703,Lunch Box,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lunch+Box,,Specialty,Hybrid,Mid,Normal,Determinate,3 ft.,3 oz.,Plum,Red,,,"Very compact, egg size.",,,,,,
1704,Mama Leone,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mama+Leone,,,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,6 oz.,Plum,Red,Red,,"Meaty fruit, few seeds.",Italy,,,,,
1705,Viva Italia,https://njaes.rutgers.edu/tomato-varieties/variety.php?Viva+Italia,,,Hybrid,Mid,Narrow,,4 ft.,3 oz.,Plum,Red,,Sweet,High-sugar fruit.,,,,,,
1706,Miroma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Miroma,,,Hybrid,Mid,Narrow,Determinate,3 ft.,5 oz.,Plum,Red,Red,,,,,,,,
1707,Olivade,https://njaes.rutgers.edu/tomato-varieties/variety.php?Olivade,,Specialty,Hybrid,Mid,Narrow,Indeterminate,4 ft.,3 3-1/2 oz.,Plum,Red,Red,,,,,,,,
1708,Pony Express,https://njaes.rutgers.edu/tomato-varieties/variety.php?Pony+Express,,Specialty,Hybrid,Very Early,Narrow,Determinate,3 ft.,6 oz.,Plum,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",
1709,Sheboygan,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sheboygan,,,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,4-6 oz.,Plum,Pink,,,,,Grown by Lithiuanian immigrants in Sheboygan WI.,Paste,,,
1710,Picus,https://njaes.rutgers.edu/tomato-varieties/variety.php?Picus,,,Hybrid,Mid,Narrow,Determinate,4 ft.,4 oz.,Plum,Red,Red,,,,,,,,
1711,Casa del Sol,https://njaes.rutgers.edu/tomato-varieties/variety.php?Casa+del+Sol,,,Hybrid,Mid,Narrow,Determinate,3 ft.,6 oz.,Plum,Red,,,,,,,,,
1712,Fresh Salsa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Fresh+Salsa,,,Open Pollinated,Mid,Narrow,Determinate,4 ft.,4-5 oz.,Plum,Red,,,,,,,,,
1713,Golden Mama,https://njaes.rutgers.edu/tomato-varieties/variety.php?Golden+Mama,,,Hybrid,Mid,Normal,Indeterminate,3 ft.,4-5 oz.,Plum,Yellow,Yellow,,Compact plant.,,,,,,
1714,Golden San Marzano,https://njaes.rutgers.edu/tomato-varieties/variety.php?Golden+San+Marzano,,,Hybrid,Late,Narrow,Determinate,3 ft.,4 oz.,Plum,Yellow,Golden,,,,,,,,
1715,Plum Regal,https://njaes.rutgers.edu/tomato-varieties/variety.php?Plum+Regal,,Commercial,Hybrid,Late,Normal,Determinate,4 ft.,6 oz.,Plum,Red,Red,,Tolerant to early & late blight.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Tobbacco Mosaic Virus",
1716,Serrat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Serrat,,Specialty,Hybrid,Early,Normal,Indeterminate,6 ft.,4 oz.,Plum,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",
1717,Bellestar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bellestar,,Commercial,Open Pollinated,Late,Normal,Determinate,3 ft.,4 oz.,Plum,Red,Red,,Square-round red fruits are jointless.,,"Developed by Dr. Jack Metcalf, Smithfield Experiment Farm, Ontario, Canada.",,,,
1718,Grandero Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Grandero+Plum,,Commercial,Hybrid,Mid,Normal,Indeterminate,5 ft.,4 oz.,Plum,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Tobbacco Mosaic Virus",
1719,BHN 901,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN+901,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,6 oz.,Plum,Yellow,Yellow,,,,,,,,
1720,Margherita,https://njaes.rutgers.edu/tomato-varieties/variety.php?Margherita,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,3 oz.,Plum,Red,Red,,,,,,,,
1721,Maya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Maya,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,2.6-3 oz.,Plum,Red,Red,,,,,,,,
1722,Roman Candle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Roman+Candle,,Garden,Open Pollinated,Late,Normal,Indeterminate,8 ft.,5 oz.,Plum,Yellow,White,,,,Originated as a sport from John Swenson’s beautiful Speckled Roman.,,,,
1723,Blush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blush,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,1 oz.,Plum,Bi-color,Bi-color,,,,,,,,
1724,Cacady's Folly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cacady's+Folly,,Heirloom,Open Pollinated,Late,Normal,Determinate,4 ft.,5 oz.,Plum,Bi-color,Bi-color,,Orange fruit with red stripes.,,,,,,
1725,Lizziebelle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lizziebelle,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.85 oz.,Plum,Orange,Orange,,Baby plum,,,,,,
1726,SuperSauce,https://njaes.rutgers.edu/tomato-varieties/variety.php?SuperSauce,,,Hybrid,Late,,Indeterminate,4 ft.,12 oz.,Plum,Red,Red,,,,,,,,
1727,Black Icicle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Icicle,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,4 oz.,Plum,Black,Red,,,,,,,,
1728,Mint Julep (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mint+Julep+(1),,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,6 oz.,Plum,Bi-color,Green,,Green fruit with yellow stripes.,,,,,,
1729,Striped Roman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Striped+Roman,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,4 oz.,Plum,Bi-color,Orange,,,,,,,,
1730,Supremo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supremo,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,8 oz.,Plum,Red,Red,,,,,,,,
1731,Umberto,https://njaes.rutgers.edu/tomato-varieties/variety.php?Umberto,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,2 oz.,Plum,Pink,Pink,,,,,,,,
1732,Orange Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Roma,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Plum,Orange,Orange,,Nearly seedless.,,,,,,
1733,Sweet Aroma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Aroma,,,Hybrid,Mid,,Indeterminate,5 ft.,4 oz.,Plum,Red,Red,,,,,,,,
1734,Chile Verde,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chile+Verde,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Plum,Green,Green,,Developed by Tom Wagner. Unique chili pepper shape.,,,,,,
1735,Firecracker,https://njaes.rutgers.edu/tomato-varieties/variety.php?Firecracker,,,Hybrid,Early,,Determinate,4 ft.,2 oz.,Plum,Bi-color,Bi-color,,Red with orange streaks.,,,,,,
