,Unnamed: 0,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws,Plant Height Unit,Fruit Size Unit
1567,1567,Rosalita,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rosalita,,,Open Pollinated,Early,Narrow,Indeterminate,5,0.25,Grape,Deep Pink,Deep Pink,Sweet,,,,,,,,ft.,oz.
1568,1568,Seminis Grape 9137,https://njaes.rutgers.edu/tomato-varieties/variety.php?Seminis+Grape+9137,,Commercial,Hybrid,Mid,Normal,Indeterminate,8,0.6,Grape,Red,Red,,,USA,,,,,,ft.,oz.
1569,1569,Sprite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sprite,,,,Very Early,Narrow,Determinate,4,0.3,Grape,Red,Red,Sweet,"Thin skinned, compact plant.",,,,,,,ft.,oz.
1570,1570,Sweethearts,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweethearts,,,Hybrid,Early,Narrow,Indeterminate,6,0.3,Grape,Red,,,"Crack resistant, uniform.",,,,,,,ft.,oz.
1571,1571,Gabrielle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gabrielle,,Specialty,Hybrid,Early,Normal,Indeterminate,6,3.4,Grape,Red,Red,,,,,,,,,ft.,oz.
1572,1572,Golden Sweet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Golden+Sweet,,Garden,Hybrid,Early,Normal,Indeterminate,7,0.5,Grape,Orange,Golden,Sweet,Plum shape; crack resistant.,,,,,,,ft.,oz.
1573,1573,Ravello,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ravello,,,Hybrid,Early,Normal,Indeterminate,6,0.75,Grape,Red,Red,,,,,,,,,ft.,oz.
1574,1574,Snacker's Delight,https://njaes.rutgers.edu/tomato-varieties/variety.php?Snacker's+Delight,,,Hybrid,Early,Narrow,Indeterminate,7,1,Grape,Red,,,,,,,,,,ft.,inch
1575,1575,Sugar Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Plum,,Garden,Hybrid,Early,Narrow,Indeterminate,7,0.5,Grape,Red,,Sweet,"Fruit held in long clusters, very sweet?",,,,,,,ft.,oz.
1576,1576,Hy-Brix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hy-Brix,,,Hybrid,Early,Narrow,Semi-Determinate,4,1/4,Grape,Red,Red,,,,,,,,,ft.,to 1/2 oz.
1577,1577,Napa Grape,https://njaes.rutgers.edu/tomato-varieties/variety.php?Napa+Grape,,Garden,Hybrid,Early,Narrow,Indeterminate,6,1,Grape,Red,Red,,Sweet flavor?,,,,,,,ft.,inch
1578,1578,Red Candy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Candy,,Specialty,Hybrid,Early,Normal,Semi-Determinate,5,1,Grape,Red,Red,,Very sweet flavor?,,,,,,,ft.,inch
1579,1579,Solid Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Solid+Gold,,,Hybrid,Mid,Narrow,Indeterminate,6,1/2,Grape,Yellow,Yellow,,,,,,,,,ft.,oz.
1580,1580,Sweet Hearts,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Hearts,,Commercial,Hybrid,Early,Normal,Indeterminate,6,0.6,Grape,Red,Red,,,,,,,,,ft.,oz.
1581,1581,Green Envy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Green+Envy,,Specialty,Hybrid,Mid,Normal,Indeterminate,5,0.7,Grape,Green,Green,,Fruit has points.,,,,,,,ft.,oz.
1582,1582,Gum Drop,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gum+Drop,,Specialty,Hybrid,Late,Normal,Indeterminate,8,0.5,Grape,Pink,Pink,,Sweet flavor.,,,,,,,ft.,oz.
1583,1583,Harlequin,https://njaes.rutgers.edu/tomato-varieties/variety.php?Harlequin,,Specialty,Hybrid,Late,Normal,Indeterminate,8,0.8,Grape,Red,Red,,,,,,,,,ft.,oz.
1584,1584,Maglia Rosa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Maglia+Rosa,,Specialty,Hybrid,Mid,Narrow,Indeterminate,4,1,Grape,Bi-color,Bi-color,,Pink fruit with yellow stripes.,,,,,,,ft.,oz.
1585,1585,Nugget,https://njaes.rutgers.edu/tomato-varieties/variety.php?Nugget,,Specialty,Hybrid,Late,Normal,Indeterminate,8,0.5,Grape,Golden,Golden,,,,"Bred by Dr. Jim Baggett at Oregon State University. F1, V.",,,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
1586,1586,Thai Pink Egg,https://njaes.rutgers.edu/tomato-varieties/variety.php?Thai+Pink+Egg,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,4,1.5,Grape,Pink,Pink,,Oval shape.,,,,,,,ft.,oz.
1587,1587,Tinkerbell,https://njaes.rutgers.edu/tomato-varieties/variety.php?Tinkerbell,,Garden,Hybrid,Early,Normal,Indeterminate,8,0.5,Grape,Red,Red,,Long grape with points.,,,,,,,ft.,oz.
1588,1588,Amai,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amai,,Commercial,Hybrid,Mid,Normal,Indeterminate,8,,Grape,Red,Red,,,,,,,,,ft.,
1589,1589,Sweet Elite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Elite,,Commercial,Hybrid,Mid,Normal,Indeterminate,7,0.8,Grape,Red,Red,,A large grape.,,,,,,,ft.,oz.
1590,1590,Montesino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Montesino,,Commercial,Hybrid,Early,Normal,Indeterminate,7,0.5,Grape,Red,Red,,,,,,,,,ft.,oz.
1591,1591,Five Star Grape (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Five+Star+Grape+(1),,Commercial,Hybrid,Mid,Normal,Indeterminate,7,0.5,Grape,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
1592,1592,Sakura Honey,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sakura+Honey,,Specialty,Hybrid,Mid,Normal,Indeterminate,7,0.5,Grape,Pink,Pink,,,,,,,,,ft.,oz.
1593,1593,Red Pearl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Pearl,,Specialty,Hybrid,Early,Normal,Indeterminate,8,0.5,Grape,Red,Red,,,,,,,"Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
1594,1594,Sweet Canary,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Canary,,Commercial,Hybrid,Mid,Normal,Semi-Determinate,4,0.75,Grape,Yellow,Yellow,,,,,,,,,ft.,oz.
1595,1595,Sweet Zen,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Zen,,Commercial,Hybrid,Early,Normal,Determinate,5,0.5,Grape,Red,Red,,,,,,,,,ft.,oz.
1596,1596,Black Mauri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Mauri,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,2,Grape,Black,Black,,,Russia,,,,,,ft.,oz.
1597,1597,Mighty Sweet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mighty+Sweet,,,Hybrid,Early,,Indeterminate,7,1,Grape,Red,Red,,,,,,,,,ft.,oz.
1598,1598,Orange Fizz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Fizz,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.6,Grape,Orange,Orange,,Crack resistant.,,,,,,,ft.,oz.
1599,1599,Sungreen Garden,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sungreen+Garden,,,Hybrid,Late,Normal,Indeterminate,6,0.85,Grape,Green,Green,,Fruits ripe when soft to the touch.,,,,,,,ft.,oz.
1600,1600,Sunpeach,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunpeach,,,Hybrid,Mid,Normal,Indeterminate,7,0.7,Grape,Pink,Pink,,Crack resistant; form on long trusses.,,,,,,,ft.,oz.
1601,1601,Amsterdam,https://njaes.rutgers.edu/tomato-varieties/variety.php?Amsterdam,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.75,Grape,Red,Red,,Fruit grow in clusters.,,,,,,,ft.,oz.
1602,1602,Fantastico,https://njaes.rutgers.edu/tomato-varieties/variety.php?Fantastico,,Garden,Hybrid,Early,Normal,Determinate,2,1,Grape,Red,Red,,2014 All-American Selection very compact container type plants.,,,,,,,ft.,oz.
1603,1603,Indigo Kumquat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Kumquat,,Specialty,Hybrid,Mid,Normal,Indeterminate,7,1,Grape,Orange,Orange,,,,,,,,,ft.,oz.
1604,1604,Jujube Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jujube+Cherry,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7,2,Grape,Red,Red,,Fruits in long clusters.,,,,,,,ft.,oz.
1605,1605,Lucky Tiger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lucky+Tiger,,Specialty,Hybrid,Mid,Normal,Indeterminate,8,1,Grape,Bi-color,Red,,Red fruit with green stripes.,,,,,,,ft.,oz.
1606,1606,Nova (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Nova+(1),,Specialty,Hybrid,Early,Normal,Indeterminate,8,1,Grape,Orange,Orange,,F1N.,,,,,,,ft.,oz.
1607,1607,Sunrise Bumble Bee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunrise+Bumble+Bee,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.5,Grape,Bi-color,Yellow,,Yellow fruit with red stripes.,,,,,,,ft.,oz.
1608,1608,Tsungshigo Chinese (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Tsungshigo+Chinese+(1),,Specialty,Open Pollinated,Mid,Normal,Indeterminate,7,1,Grape,Black,Red,,,,,,,,,ft.,oz.
1609,1609,Corbarino (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Corbarino+(1),,,Open Pollinated,Mid,,Indeterminate,7,1,Grape,Red,Red,,,,,,,,,ft.,oz.
1610,1610,Honey Bunch Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Bunch+Yellow,,,Hybrid,Early,,Indeterminate,7,1,Grape,Yellow,Yellow,,,,,,,,,ft.,oz.
1611,1611,Indigo Ruby,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Ruby,,,Hybrid,Late,,Determinate,4,1,Grape,Bi-color,Bi-color,,Plum shape red fruit with violet blue tops.,,,,,,,ft.,oz.
1612,1612,Matthew,https://njaes.rutgers.edu/tomato-varieties/variety.php?Matthew,,,Hybrid,Late,,Indeterminate,7,1,Grape,Golden,Golden,,,,,,,,,ft.,oz.
1613,1613,Principe Borghese (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Principe+Borghese+(2),,,Open Pollinated,Mid,,Determinate,4,1,Grape,Red,Red,,,,,,,,,ft.,oz.
1614,1614,Rojita,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rojita,,,Hybrid,Late,,Indeterminate,7,1,Grape,Pink,Pink,,,,,,,,,ft.,oz.
1615,1615,Clementine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Clementine,,,Hybrid,Mid,,Indeterminate,7,2,Grape,Orange,Orange,,,,,,,,,ft.,oz.
1616,1616,Chocolate Sprinkles,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Sprinkles,,,Hybrid,Early,,Indeterminate,5,1,Grape,Black,Black,,Dark red with dark green stripes.,,,,,,,ft.,oz.
1617,1617,Jolly Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+Girl,,,Hybrid,Early,,Determinate,4,1,Grape,Red,Red,,Compact plants.,,,,,,,ft.,oz.
1618,1618,Sugar Rush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Rush,,,Hybrid,Early,,Indeterminate,5,1,Grape,Red,Red,,Fruit grows on long clusters.,,,,,,,ft.,oz.
1619,1619,A Grappoli D'Inverno,https://njaes.rutgers.edu/tomato-varieties/variety.php?A+Grappoli+D'Inverno,,Heirloom,Open Pollinated,Early,Normal,Semi-Determinate,4,1,Grape,Red,Red,,Roma/grape (winter grape).,Italy,,,,,,ft.,oz.
1620,1620,Baby Grape,https://njaes.rutgers.edu/tomato-varieties/variety.php?Baby+Grape,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6,1,Grape,Red,Red,,1 inch  long plum shape.,,,,,,,ft.,oz.
1621,1621,Bartelly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bartelly,,Specialty,Hybrid,Very Early,Normal,Indeterminate,5,0.5,Grape,Red,Red,,1-inch wide fruit.,,,,,,,ft.,oz.
1622,1622,Jolly (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+(2),,Garden,Hybrid,Mid,Normal,Indeterminate,7,1.5,Grape,Pink,Pink,,Distinctive tip at blossom end. 2001 AAS Winner.,,,,,,,ft.,oz.
1623,1623,Pink Champagne,https://njaes.rutgers.edu/tomato-varieties/variety.php?Pink+Champagne,,Garden,Hybrid,Early,Normal,Indeterminate,5,1,Grape,Pink,Pink,,Said to be very sweet?,,,,,,,ft.,oz.
1624,1624,Princess Yum Yum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Princess+Yum+Yum,,Garden,Hybrid,Mid,Normal,Indeterminate,8,0.5,Grape,Red,Red,,Fruits in clusters. Resistant to late blight & powdery mildew.,,,,,,,ft.,oz.
1625,1625,Scarlet Sunrise (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Scarlet+Sunrise+(1),,Garden,Hybrid,Mid,Narrow,Indeterminate,8,1,Grape,Bi-color,Yellow,,"Beautiful yellow/pink sweet bicolor fruit, released by Rutgers in 2020.",USA,,,,,,ft.,oz.
1626,1626,Mingle Mix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mingle+Mix,,Garden,Hybrid,Mid,Normal,Indeterminate,5,1,Grape,Multi,Multi,,"Multi-colored fruit, resistant to cracking",,,,,,,ft.,oz.
1627,1627,Apero,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apero,,Commercial,Hybrid,Early,Normal,Indeterminate,6,1,Grape,Red,Red,,"High resistance to FNT, exceptional flavor? and foliar disease resistance",,,,,,,ft.,oz.
1628,1628,Gold Spark,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gold+Spark,,Garden,Hybrid,Early,Normal,Indeterminate,6,2,Grape,Yellow,Yellow,,"High resistance to T and cracking, large, dark yellow beauties with unfailingly delicious?, sweet, meaty flesh",,,,,,,ft.,oz.
1629,1629,Celano,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celano,,Garden,Hybrid,Early,Normal,Semi-Determinate,5,0.5,Grape,Red,Red,,2020 AAS Winner Excellent late blight tolerance,,,,,,,ft.,oz.
1630,1630,BHN  785,https://njaes.rutgers.edu/tomato-varieties/variety.php?BHN++785,,Commercial,Hybrid,Mid,Normal,Determinate,3,0.5,Grape,Red,Red,,"Resistance to F, concentrated set of smooth, firm fruit",,,,,,,ft.,oz.
1631,1631,Apple Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Apple+Yellow,,Garden,Hybrid,Mid,Normal,Indeterminate,7,1,Grape,Yellow,Yellow,,"2020 AAS Winner, fruit shaped like an apple with dimpled blossom end.",,,,,,,ft.,oz.
1632,1632,Cherry Ember,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Ember,,Garden,Open Pollinated,Early,Normal,Indeterminate,8,1,Grape,Red,Red,,"Red with gold stripes, resists cracking",USA,,,,,,ft.,oz.
1633,1633,Supernova,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supernova,,Garden,Open Pollinated,Early,Normal,Indeterminate,8,0.5,Grape,Red,Red,,Red with yellow stripes inside and out,USA,,,,,,ft.,oz.
1634,1634,Mountain Vineyard (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Mountain+Vineyard+(2),,Garden,Hybrid,Mid,Normal,Indeterminate,6,0.5,Grape,Red,Red,,"Contains the crimson gene for high lycopene, crack and F resistant",,,,,,,ft.,oz.
1635,1635,German Lunchbox (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?German+Lunchbox+(2),,Garden,Open Pollinated,Mid,Normal,Indeterminate,6,2,Grape,Pink,Red,,Vibrant pink and very sweet,Germany,,,,,,ft.,oz.
1636,1636,Bliss,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bliss,,Garden,Hybrid,Mid,Normal,Indeterminate,7,1,Grape,Yellow,Yellow,,"Perfect for snacking, sweet",,,,,,,ft.,oz.
1637,1637,Glitter,https://njaes.rutgers.edu/tomato-varieties/variety.php?Glitter,,Garden,Hybrid,Mid,Normal,Indeterminate,7,1,Grape,Orange,Orange,,"Brilliant orange tomato on trusses, prolific",USA,,,,,,ft.,oz.
1638,1638,Cannellino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cannellino,,Commercial,Hybrid,Mid,Normal,Determinate,5,0.5,Grape,Yellow,Yellow,,"Unique and sweet flavor, resists cracking, VF",,,,,,,ft.,oz.
1639,1639,Phuket Egg,https://njaes.rutgers.edu/tomato-varieties/variety.php?Phuket+Egg,,Garden,Open Pollinated,Early,Normal,Indeterminate,5,1,Grape,Pink,Pink,,Unique tart tomato used in Thai cuisine,Thailand,,,,,,ft.,oz.
1640,1640,Kalman's Hungarian Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kalman's+Hungarian+Pink,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,,,Long Blocky,Pink,Pink,,Rich sweet flavor?  Meaty flesh.,,"A family heirloom of Kalman Lajvort of Edison, NJ originally frorm Europe.","Fresh, Paste","Seed Exchange, Commercial",,,,
1641,1641,Dacquiri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Dacquiri,,Commercial,Hybrid,Mid,Narrow,Determinate,3,4,Long Blocky,Red,Red,,Firm and hold well on plant.,,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,oz.
1642,1642,Quimbaya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Quimbaya,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,8,5,Long Blocky,Red,Red,,,,Said to be from Columbia.,,,,,ft.,oz.
1643,1643,Capaya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Capaya,,,Hybrid,Mid,Normal,Determinate,5,6,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Alternaria Stem Canker, Tobbacco Mosaic Virus",,ft.,oz.
1644,1644,Huichol,https://njaes.rutgers.edu/tomato-varieties/variety.php?Huichol,,Commercial,Hybrid,Mid,Normal,Determinate,3,6,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",,ft.,oz.
1645,1645,La Roma III,https://njaes.rutgers.edu/tomato-varieties/variety.php?La+Roma+III,,Specialty,Hybrid,Late,Normal,Determinate,3,5,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",,ft.,oz.
1646,1646,Ranger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ranger,,,Hybrid,Late,,Determinate,4,6,Long Blocky,Red,Red,,Firm fruit.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
1647,1647,Jersey Devil,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jersey+Devil,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6,6,Long Pointed,Red,Red,,Very meaty few seeds?  Look like frying peppers.  Sweet?,,,"Fresh, Paste",Commercial,,,ft.,oz.
1648,1648,Wonder Light,https://njaes.rutgers.edu/tomato-varieties/variety.php?Wonder+Light,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5,6,Long Pointed,Yellow,Yellow,,Resemble lemons in shape. Good for salads and salsa.,Russia,From Siberia.,"Fresh, Paste","Seed Exchange, Commercial",,,ft.,oz.
1649,1649,Banana Legs,https://njaes.rutgers.edu/tomato-varieties/variety.php?Banana+Legs,,Heirloom,Open Pollinated,Late,Normal,Determinate,3,2,Long Pointed,Yellow,Yellow,,"Meaty and low in acid?; Fruit is 4"" long by 1.5"" in diameter.",,,Fresh,Commercial,,,ft.,oz.
1650,1650,Cream Sausage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cream+Sausage,,Specialty,Open Pollinated,Mid,Narrow,Determinate,3,3,Long Pointed,White,White,,Sweet flavor?  Adds great color to salsa or sauces.  Compact plants?,,,"Fresh, Paste","Seed Exchange, Commercial",,,ft.,oz.
1651,1651,Green Sausage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Green+Sausage,,Specialty,Open Pollinated,Late,Narrow,Determinate,3,3,Long Pointed,Green,Green,,Green with yellow stripes.  Short compact plants.,,,Fresh,"Seed Exchange, Commercial",,,ft.,oz.
1652,1652,Purple Russian,https://njaes.rutgers.edu/tomato-varieties/variety.php?Purple+Russian,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,5,Long Pointed,Black,Black,,Meaty rich flavor.,Ukraine,,"Fresh, Paste","Seed Exchange, Commercial",,,ft.,oz.
1653,1653,Speckled Roman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Speckled+Roman,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,7,7,Long Pointed,Bi-color,Red,,"Thick skinned with meaty flesh.  Fruits are 5"" long.  Orange red color with yellow stripes.",,Developed by John Swenson as a result of a cross between 'Antique Roman' and 'Banana Legs'.,,,,,ft.,oz.
1654,1654,Plum Lemon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Plum+Lemon,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,5,3,Long Pointed,Yellow,Yellow,Sweet,"Lemon shaped, Collected by Kent Whealy from an elderly seedsman at Moscow’s Bird Market. Meaty sweet flavor?",Russia,,,,,,ft.,inches
1655,1655,El Dorado,https://njaes.rutgers.edu/tomato-varieties/variety.php?El+Dorado,,,Hybrid,Mid,Normal,Indeterminate,7,4,Long Pointed,Yellow,Yellow,,,,,,,,,ft.,oz.
1656,1656,Lemon Tree,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Tree,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,3,Long Pointed,Yellow,Yellow,,,,,,,,,ft.,oz.
1657,1657,Yellow Fire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Yellow+Fire,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5,4,Long Pointed,Bi-color,Red,Tomato Flavor,Yellow and red striped friuit with few seeds.,,,,,,,ft.,oz.
1658,1658,German Red Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?German+Red+Strawberry,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,5,10,Oxheart,Red,Red,,Very meaty few seeds and little juice.  Tends to have green shoulders.,,,,,,,ft.,oz.
1659,1659,Hungarian Heart,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hungarian+Heart,,,Open Pollinated,Late,Normal,Indeterminate,7,16,Oxheart,Pink,Pink,Tomato Flavor,Originated from Budapest Hungary.,,,,,,,ft.,oz.
1660,1660,Orange Strawberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Strawberry,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,10,Oxheart,Orange,Orange,,Fruit supposed to have the shape of a strawberry?  Rich yet sweet flavor?,,,Fresh,Commercial,,,ft.,oz.
1661,1661,Rostova,https://njaes.rutgers.edu/tomato-varieties/variety.php?Rostova,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6,14,Oxheart,Red,Red,,Also sold as 'Sunset's Red Horizon'.,Russia,Named after Rostov City.,,,,,ft.,oz.
1662,1662,Wes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Wes,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,12,Oxheart,Red,Red,,Fruit is meaty with few seeds.,,,,,,,ft.,oz.
1663,1663,Red Anjou,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Anjou,,,Hybrid,Mid,,Indeterminate,7,16,Oxheart,Red,Red,,,,,,,,,ft.,oz.
1664,1664,Shilling Giant (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Shilling+Giant+(1),,,Open Pollinated,Late,,Indeterminate,5,12,Oxheart,Red,Red,,,,,,,,,ft.,oz.
1665,1665,Cour Di Bue,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cour+Di+Bue,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,8,Oxheart,Red,Red,Tomato Flavor,Originally from Italy.,Italy,,,,,,ft.,oz.
1666,1666,Orange Russian 117,https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Russian+117,,Garden,Open Pollinated,Late,Normal,Indeterminate,7,8,Oxheart,Bi-color,Yellow,Tomato Flavor,Yellow with red blush a cross between 'Russian 117' and 'Georgia Streak'.,,,,,,,ft.,oz.
1667,1667,Orange Oxheart (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Orange+Oxheart+(2),,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7,12,Oxheart,Orange,Orange,,Meaty with well balanced flavor.,USA,,,,,,ft.,oz.
1668,1668,Oxheart Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Oxheart+Pink,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,12,Oxheart,Pink,Pink,,Meaty and flavorful.,,,,,,,ft.,oz.
1669,1669,Japanese Trifele Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Japanese+Trifele+Black,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5,8,Pear,Black,Black,,,,,,Commercial,,,ft.,oz.
1670,1670,Zapotec Pink Ribbed,https://njaes.rutgers.edu/tomato-varieties/variety.php?Zapotec+Pink+Ribbed,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,8,Pear,Deep Pink,Deep Pink,,Deeply ribbed.,Mexico,From the Zapotec indians of Mexico.,,,,,ft.,oz.
1671,1671,Red Fig,https://njaes.rutgers.edu/tomato-varieties/variety.php?Red+Fig,,,Open Pollinated,Mid,Narrow,Indeterminate,6,0.4,Pear,Red,Red,,,,,,,,,ft.,oz.
1672,1672,Beam's Yellow Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Beam's+Yellow+Pear,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7,0.55,Pear,Yellow,Yellow,,Said to be a the best yellow pear strain.,,,Fresh,Seed Exchange,,,ft.,oz.
1673,1673,Black Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Black+Pear,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5,,Pear,Black,Red,,,,,Fresh,"Seed Exchange, Commercial",,,ft.,
1674,1674,Classica,https://njaes.rutgers.edu/tomato-varieties/variety.php?Classica,,Garden,Hybrid,Mid,Normal,Determinate,4,3-1/2,Pear,Red,Red,,Great for salads or fresh.,,,"Fresh, Paste",Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",,ft.,oz.
1675,1675,Gremlin,https://njaes.rutgers.edu/tomato-varieties/variety.php?Gremlin,,Specialty,Hybrid,Early,Narrow,Determinate,5,12,Pear,Red,Red,,Firm fruit with a unique shape.,,,,,Verticillium Wilt,,ft.,oz.
